"SKU","Product Name","Smell Group","Smell Subgroup","Smell Head","Smell Heart","Smell Base","Colour","hue","value","chroma","Edition"
"101269FR-S",Hot Chestnut,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
"101269FR-XS",Hot Chestnut,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
"101269IT-L",Hot Chestnuts,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
"101269IT-M",Hot Chestnuts,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
"101269IT-S",Hot Chestnuts,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
"101269IT-XS",Hot Chestnuts,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
"101271DE-L",Schoko-Minze,"""Oriental""","""Gourmand""","""Mint""","""Chocolate""","""Vanilla""","""Green""","2.5G","""8""","""6""","""Classic"""
"101271DE-M",Schoko-Minze,"""Oriental""","""Gourmand""","""Mint""","""Chocolate""","""Vanilla""","""Green""","2.5G","""8""","""6""","""Classic"""
"101271DE-S",Schoko-Minze,"""Oriental""","""Gourmand""","""Mint""","""Chocolate""","""Vanilla""","""Green""","2.5G","""8""","""6""","""Classic"""
"101272DE-L",Soft Sandalwood,"""Oriental""","""Oriental""","""Bergamot, Ginger""","""Geranium""","""Sandalwood, Cedar Wood, Patchouly""","""Dark Yellow""","2.5Y","""8""","""10""","""Classic"""
"101272DE-M",Soft Sandalwood,"""Oriental""","""Oriental""","""Bergamot, Ginger""","""Geranium""","""Sandalwood, Cedar Wood, Patchouly""","""Dark Yellow""","2.5Y","""8""","""10""","""Classic"""
"101272DE-S",Soft Sandalwood,"""Oriental""","""Oriental""","""Bergamot, Ginger""","""Geranium""","""Sandalwood, Cedar Wood, Patchouly""","""Dark Yellow""","2.5Y","""8""","""10""","""Classic"""
"101272FR-L",Soft Sandalwood,"""Oriental""","""Oriental""","""Bergamot, Ginger""","""Geranium""","""Sandalwood, Cedar Wood, Patchouly""","""Dark Yellow""","2.5Y","""8""","""10""","""Classic"""
"101272FR-M",Soft Sandalwood,"""Oriental""","""Oriental""","""Bergamot, Ginger""","""Geranium""","""Sandalwood, Cedar Wood, Patchouly""","""Dark Yellow""","2.5Y","""8""","""10""","""Classic"""
"101272FR-S",Soft Sandalwood,"""Oriental""","""Oriental""","""Bergamot, Ginger""","""Geranium""","""Sandalwood, Cedar Wood, Patchouly""","""Dark Yellow""","2.5Y","""8""","""10""","""Classic"""
